Instruction,Type,RV32,RV64,cp_ssstrictv_widening_source_overlap,cp_ssstrictv_all_widening_source_overlap,cp_ssstrictv_vext2_overlapping_vd_vs2,cp_ssstrictv_vext4_overlapping_vd_vs2,cp_ssstrictv_vext8_overlapping_vd_vs2,cp_ssstrictv_vwiden_overlapping_vd_vs1_lmul1,cp_ssstrictv_vwiden_overlapping_vd_vs2_lmul1,cp_ssstrictv_vwidenw_overlapping_vd_vs1_lmul1,cp_ssstrictv_vnarrow_overlapping_vd_vs2,cp_ssstrictv_widening_vd_emul_16,cp_ssstrictv_narrowing_vs2_emul_16,cp_ssstrictv_widening_vd_sew_eq_elen,cp_ssstrictv_narrowing_vs2_sew_eq_elen,cp_ssstrictv_vrgather_vd_vs1_eq,cp_ssstrictv_vrgather_vd_vs2_eq,cp_ssstrictv_vrgatherei16_emul_16,cp_ssstrictv_vrgatherei16_emul_f16,cp_ssstrictv_masking_vd_eq_v0,cp_ssstrict_ls_nf_eew_emul8,cp_ssstrict_ls_nf_eew_emul4,cp_ssstrict_ls_nf_eew_emul2,cp_ssstrictv_masking_vd_eq_v0_lmulgt1,cp_ssstrictv_ls_seg_vd_overflow,cp_ssstrictv_ls_seg_idx_vd_vs2_overlap,cp_ssstrictv_ls_wr_nf_not_pow2,cp_ssstrictv_ls_wr_nreg2_vd_unaligned,cp_ssstrictv_ls_wr_nreg4_vd_unaligned,cp_ssstrictv_ls_wr_nreg8_vd_unaligned,cp_ssstrictv_vfp_frm_reserved,cp_ssstrictv_vfp_eew_unsupported,cp_ssstrictv_vzext_src_reserved,cp_ssstrictv_vadc_vsbc_vm1_reserved,cp_ssstrictv_vadc_vsbc_vd_v0_reserved,cp_ssstrictv_vmv_vs2_not_v0_reserved,cp_ssstrictv_vfp_widen_eew_unsupported,cp_ssstrictv_vfmv_vs2_not_v0_reserved,cp_ssstrictv_mask_logical_vm0_reserved,cp_ssstrictv_vid_vs2_not_v0_reserved,cp_ssstrictv_vmv_xs_sx_vm0_reserved,cp_ssstrictv_vfmv_fs_sf_vm0_reserved,cp_ssstrictv_vslideup_vd_vs2_overlap,cp_ssstrictv_vrgather_vd_vs2_overlap,cp_ssstrictv_vrgather_vd_vs1_overlap,cp_ssstrictv_vcompress_vd_vs2_overlap,cp_ssstrictv_vcompress_vd_v0_overlap,cp_ssstrictv_vmvnr_simm_reserved,cp_ssstrictv_vmv2r_reg_align,cp_ssstrictv_vmv4r_reg_align,cp_ssstrictv_vmv8r_reg_align,cp_ssstrictv_vcsr_reserved_bits,cp_ssstrictv_masking_vd_v0_overlap,cp_ssstrictv_lmulgt1_off_group,cp_ssstrictv_ls_eew_2x_elen,cp_ssstrictv_ls_emul_16,cp_ssstrictv_ls_emul_f16,cp_ssstrictv_ls_emul_nfields_16,cp_ssstrictv_vslide1up_vd_vs2_overlap,cp_ssstrictv_vcompress_vstart_nonzero,cp_ssstrictv_vcompress_vstart_report_zero,cp_ssstrictv_vmv2r_off_group,cp_ssstrictv_vmv4r_off_group,cp_ssstrictv_vmv8r_off_group,cp_ssstrictv_ls_seg_idx_vd_vs2_grp_overlap,cp_ssstrictv_reserved_vcsrs,cp_ssstrictv_vsetvli_reserved_vsew,cp_ssstrictv_vsetvli_lmul_sew_ratio,cp_ssstrictv_ls_eew_lt_sewmin,cp_ssstrictv_ls_mew_reserved,cp_ssstrictv_vzext_vf2_reserved,cp_ssstrictv_vzext_vf4_reserved,cp_ssstrictv_vzext_vf8_reserved,cp_ssstrictv_vcompress_vm0_reserved,cp_ssstrictv_vsext_src_reserved,cp_ssstrictv_ext_emul_lt1_overlap,cp_ssstrictv_widen_max_sew,cp_ssstrictv_vsetvli_x0_x0_reserved,cp_ssstrictv_vsetvl_x0_x0_reserved,cp_ssstrictv_ls_seg_vd_overflow_emulgt1,cp_ssstrictv_vlmul_100_reserved,cp_ssstrictv_ls_idx_emul_gt8,cp_ssstrictv_ls_idx_emul_lt_f8,cp_vtype_walking1s,cp_exceptionsv_vd_vs2_overlap,cp_exceptionsv_vd_vs1_overlap,cp_exceptionsv_vd_v0_overlap_mask_active,cp_ssstrictv_vstart_ge_vlmax
vlseg3e64ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg3e8.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg3e8ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg4e16.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg4e16ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg4e32.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg4e32ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg4e64.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg4e64ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg4e8.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg4e8ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg5e16.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg5e16ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg5e32.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg5e32ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg5e64.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg5e64ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg5e8.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg5e8ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg6e16.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg6e16ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg6e32.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg6e32ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg6e64.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg6e64ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg6e8.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg6e8ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg7e16.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg7e16ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg7e32.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg7e32ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg7e64.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg7e64ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg7e8.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg7e8ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg8e16.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg8e16ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg8e32.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg8e32ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg8e64.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg8e64ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg8e8.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg8e8ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg2e16.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg2e32.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg2e64.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg2e8.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg3e16.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg3e32.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg3e64.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg3e8.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg4e16.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg4e32.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg4e64.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg4e8.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg5e16.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg5e32.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg5e64.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg5e8.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg6e16.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg6e32.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg6e64.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg6e8.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg7e16.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg7e32.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg7e64.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg7e8.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg8e16.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg8e32.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg8e64.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlsseg8e8.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,x
vluxei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,x
vluxei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,x
vluxei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,x
vluxseg2ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg2ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg2ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg2ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg3ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg3ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg3ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg3ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg4ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg4ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg4ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg4ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg5ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg5ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg5ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg5ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg6ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg6ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg6ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg6ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg7ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg7ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vluxseg7ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
